CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
AD-CO,2016000012250,2/15/2017,Stone Mtn Land Owners LP etal,11525 Community Ctr Dr,Northglenn,Carrick Bend Acquisition LP,47580000,Apt,2015,9.00,264516,228,392040,179.8756975,208684.2105,121.3651668,78,,,,,,Y,Y,Y,3,3,3,Multi,Carrick Bend Apts
AD-CO,2016000010228,2/8/2016,JCK Funding LLC,2921 W 120th Ave,Westminster,BNH Investments LLC,5180000,Off,2006,1.47,18987,0,64033,272.8182441,0,80.89553544,0,0.0745,385910,,,1.0000,Y,Y,Y,2,3,3,Land Title,Country Club Village
AD-CO,2016000010646,2/9/2016,Granite Peak Property Investment,3740 E 104th Ave,Thornton,Pecos  LLC,1620000,Aut,2000,0.61,6672,0,26572,242.8057554,0,60.9673486,0,0.0625,101250,0,101250,1.0000,Y,Y,Y,2,3,3,"Big O, 7 yrs, CPI",Big O Tires
AR-CO,D6012198,1/19/2016,KBS Companies,8390 E Crescent Pkwy,Greenwod Village,PM Realty Group,30025000,Off,1997,2.08,135000,0,90605,222.4074074,0,331.3842092,0,0.0735,2206838,1350000,3556838,1.0000,Y,Y,Y,3,3,2,Multi,Greenwood Centre
AR-CO,D6011914,2/2/2016,Watermark JSQ @ Southlands,24631 E Applewod Dr,Aurora,Braddock & Logan Venture Group,78000000,Apt,2015,20.10,332800,300,875556,234.375,0,89.08624919,300,0.0500,3901112,1860000,5761112,0.9500,Y,Y,Y,2,3,3,Multi,Watermark @ Southlands
AR-CO,D6012198,2/4/2016,Velocis Greenwood LP,5460 S Quebec St,Greenwod Village,Landmark Centre Assoc,13600000,Off,1984,2.08,75950,0,90605,179.0651745,0,150.1024228,0,0.0735,999600,759500,1759100,1.0000,Y,Y,Y,3,3,2,Multi,Greenwood Centre
AR-CO,D6012198,2/17/2016,Prudential Real Estate Investors,6200 S Syracuse St,Greenwod Village,DPC Development Co,41650000,Off,1984,2.08,237681,0,90605,175.2348736,0,459.6886699,0,0.0743,3094607,2609737,5704344,0.9900,Y,Y,Y,3,3,2,Multi,"Carrerra Place, Truven and Envision Health."
AR-CO,D6010197,1/29/2016,Delaware Investments LP,2860 S Tejon St,Englewood,Tejono Warehouse LLC,1650000,Ind,1977,0.69,23187,0,30056,71.16056411,0,54.89679403,0,,,,,,Y,Y,Y,2,3,2,Alpine Roastery,N/A
AR-CO,D6000045,1/4/2016,Centennial Corners LLC,0,Centennial,Murphy Oil LLC,530000,Lnd,0,1.19,0,0,51836,#DIV/0!,0,10.22447547,0,,,,,,Y,Y,Y,3,3,2,Murphy Oil,C-Store
AR-CO,D6012849,2/1/2016,TNREF III Aurora Corp Plaza,2450 S Peoria St,Aurora,CU Health,525000,Lnd,0,5.68,0,0,247421,#DIV/0!,0,2.121891126,0,,,,,,Y,Y,Y,1,1,2,CU Health,Int Office site
AR-CO,D6014923,2/9/2016,Sharon Denise Green-Hughes,1485 Kingston St,Aurora,JYC Inc,360000,Ind,1960,0.22,5490,0,9583,65.57377049,0,37.56652405,0,,,,,,Y,Y,Y,1,1,2,Multi,None
BO-CO,03497293,1/22/2016,University Hill Parnters LLC,1143-55 13th St,Boulder,Clifford Brown Etal,11330000,Apt,2011,0.26,18383,15,11341,616.3303052,0,999.0300679,0,0.0524,593190,319410,912600,0.9500,Y,Y,Y,3,3,3,Mult Apt/Ret,Lofts on the Hill
BO-CO,03499771,2/5/2016,Erie Commercial Venture,SWC Erie Pkwy & Cnty Line Rd,Erie,Erie Four Corners LLC,7780000,Lnd,0,46.61,0,0,2030332,#DIV/0!,0,3.831886378,0,,,,,,Y,Y,Y,2,2,2,Mult Apt/Ret,MU land
BO-CO,03497211,1/21/2016,Pearl Place Associates,S/S Pearl St 350' W of 30th St,Boulder,Google Inc,7010000,Lnd,0,1.40,0,0,60921,#DIV/0!,0,115.0670541,0,,,,,,Y,Y,Y,3,3,3,Google,S/T Office Site
BO-CO,0349909,2/1/2016,Bridge Commercial Ptnrs,3000 Pearl St ,Boulder,30th & Pearl Boulder LLC,3100000,Off,1978,0.81,13548,0,35284,228.8160614,0,87.85851944,0,,,,,,Y,Y,Y,3,3,3,S/T Office,None
BO-CO,03499910,2/4/2016,Alvin E Baker,2120 32nd St,Boulder,30th & Pearl Boulder LLC,950000,Lnd,0,0.69,0,0,30142,#DIV/0!,0,31.51748391,0,,,,,,Y,Y,Y,3,3,3,S/T Office,None
BO-CO,035000204,1/21/2016,Treerun Enterprises,"4550 Broadway, Unit C-3E",Boulder,Lava Properties,1030000,Ret,2005,0.00,2940,0,0,350.3401361,0,#DIV/0!,0,,,,,,Y,Y,Y,3,3,3,S/T Rest,None
BO-CO,03499420,1/29/2016,Twin Star Energy,844 Ken Pratt Blvd,Longmont,CD Pratt LLC,800000,Aut,1972,0.46,800,0,20232,1000,0,39.54132068,0,,,,,,Y,Y,Y,2,2,1,S/T Ret,C-Store
BR-CO,201600694,1/19/2016,385 Interlocken LLC,385 Interlocken Blvd,Broomfield,385 Interlocken Owner LLC,83500000,Off,2010,14.41,297682,0,627700,280.5006685,0,133.0254153,56,,,,,0.8600,Y,Y,Y,3,3,3,Multi,Central Park Tower
DE-CO,2016017200,1/29/2016,Amcap Clayton LLC,101 Clayton Lane,Denver,Clayton Lane Investors,169600000,Ret,2004,5.40,334825,0,235224,506.5332636,0,721.0148624,1135,,,,,,Y,Y,Y,3,3,1,Multi Ret,"Sears, Whole Foods"
DE-CO,2015035318,3/20/2015,Jefferson Park Development LLC,2527 W 27th Ave,Denver,L&L Development,17500000,Lnd,0,2.68,0,713,116808,#DIV/0!,24544.17952,149.8185056,0,,,,,,Y,Y,Y,3,3,3,Apt Land,None
DE-CO,2016017073,2/9/2016,Paradise Investment  Properties,1306-80 Speer Blvd,Denver,US TP Legacy Speer LLC,17500000,Lnd,0,2.02,0,322,87991,#DIV/0!,54347.82609,198.8835247,0,,,,,,Y,Y,Y,3,3,3,Apt Land,None
DE-CO,2016015296,2/8/2016,Combined Fishman Properties Inc,NEC 29th Ave & Fox St,Denver,Stor All Fox Street LLC,5300000,Lnd,0,1.88,0,0,81984,#DIV/0!,#DIV/0!,64.64676034,0,,,,,,Y,Y,Y,3,3,3,Self Stg Land,Stor All
DE-CO,2016016260,2/8/2016,Thomas R Ward etal,955 Bannock St,Denver,Bannock RE Partners LLC,2900000,Off,1982,0.36,8272,0,15729,350.5802708,#DIV/0!,184.3728145,0,,,,,,Y,Y,Y,3,3,3,Off/Ret,Rooster & Moon
DE-CO,2016015490,2/5/2016,Corbin & Associates LLC,4353-73 Clay St,Denver,Clay St Apts LLC,2740000,Apt,1960,0.50,10644,20,21786,257.4220218,137000,125.7688424,0,,,,,,Y,Y,Y,2,2,1,Apts,None
DE-CO,2016018881,2/9/2016,"Annah Palm Est, Etal",1935 Sherman St,Denver,MVP Denver 1935 Sherman LLC,2440000,Lnd,0,0.43,0,0,18750,#DIV/0!,#DIV/0!,130.1333333,0,,,,,,Y,Y,Y,2,3,1,Pkg Lot,None
DE-CO,2016020373,2/16/2016,E3655 Brighton Investors LLC,3655 Brighton Blvd,Denver,Collegieate Peaks Bank,1590000,Lnd,0,0.35,0,0,15250,#DIV/0!,#DIV/0!,104.2622951,0,,,,,,Y,Y,Y,2,3,3,Off,None
DE-CO,2016017189,2/5/2016,THFWest2 LLC,1422 Leyden St,Denver,Mile High Real Estate Enterprises,1510000,Apt,1948,0.29,9109,11,12500,165.7701175,137272.7273,120.8,0,,,,,,Y,Y,Y,2,3,2,Apts,None
DE-CO,2016015242,2/5/2016,Tower Commons LLC,18630 Green Valley Ranch Rd,Denver,Pert Ultima LLC,1360000,Ret,2006,1.18,3560,0,51396,382.0224719,#DIV/0!,26.46120321,0,0.0675,91800,0,91800,1.0000,Y,Y,Y,3,3,3,Ret,"Dominos, H&R Block"
DE-CO,2016018005,2/9/2016,5115 Developers LLC,NWC 29th Ave & Zenobia St,Denver,Zenobia Place LLC,1280000,Lnd,0,0.35,0,15,15333,#DIV/0!,85333.33333,83.48007565,0,,,,,,Y,Y,Y,3,3,3,TH Land 15 units,None
DE-CO,2016020854,2/12/2016,Jocobe LLC,2734 W 9th Ave,Denver,2734 9th Ave LLC,820000,Ind,1998,0.31,5943,0,13694,137.9774525,#DIV/0!,59.88023952,0,,,,,,Y,Y,Y,2,3,3,Off Whse,None
DE-CO,2016020854,2/18/2016,DAB LLC,2525 15th St Unit A,Denver,JSKH Properties LLC,769000,Off,1998,0.31,2025,0,13694,379.7530864,#DIV/0!,56.15598072,2,,,,,,Y,Y,Y,2,3,3,Off ,None
DO-CO,2016006871,2/2/2016,Parker RE LLC,9398 Crown Crest Blvd,Parker,Crown Property Holdings LLC,13060000,Nhm,2002,1.63,46050,154,71003,283.6047774,84805.19481,183.9364081,0,,,,,,N,Y,Y,3,3,3,Rehab Ctr,Crown Crest
DO-CO,2016007080,2/5/2016,TCF National Bank,9475 S University Blvd,Highlands Ranch,MPT of Highlands Ranch,4200000,Lnd,0,1.08,0,0,47045,#DIV/0!,#DIV/0!,89.27660443,0,,,,,,N,Y,Y,3,3,3,Land scrape,Urgent Care
DO-CO,2016006285,2/1/2016,Dennis J Head TR,10311 S Progress Way,Parker,Glen Hoppes,1200000,Ind,1982,1.00,15780,0,43560,76.04562738,#DIV/0!,27.54820937,0,0.0855,102570,31560,134130,,N,N,Y,3,3,3,Mt Ind,Local
AD-CO,2016000012743,2/18/2016,Nelson Gardens LLC,7545 Bradbum Blvd,Westminster,1575 Galena Partners LLC,3900000,Apt,1973,1.52,31680,44,66211,123.1060606,88636.36364,58.90242134,0,0.0809,315606,,458456,,,,Y,,3,3,Apts,Bradbum Garden Apts
AD-CO,2016000015195,2/26/2016,S3L Holdings LLC &  70 Ranch LLC,SWC E Bridge St & S 50th St,Brighton,Catholic Health Initiatives Colorado,2130000,Lnd,0,2.80,0,0,121968,#DIV/0!,0,17.46359701,0,,,,,,Y,,Y,,,,,
AD-CO,2016000014229,2/24/2016,SPG Investors LLC,SEC E 112th Ave & Colorado Blvd,Thornton,Maverik Inc,1400000,Lnd,0,3.34,0,0,145490,#DIV/0!,#DIV/0!,9.622628022,0,,,,,,Y,Y,Y,,,,Ret,Maverik convenience store
AD-CO,2016000013019,2/18/2016,McBride Brothers Investments LLC,7160 Irving St,Westminster,7160 Irving St LLC,1150000,Ind,1981,0.65,12724,0,28314,90.38038353,#DIV/0!,49.44550399,0,,,,,,N,Y,Y,3,,,,
AR-CO,D6016057,2/16/2016,Southview Place Towers LLC,5820 Windermere St & 5829 S Datura St. ,Littleton,Tebo-Orvis LLC,30510000,Apt,1972,5.88,240301,259,256133,126.9657638,117799.2278,119.1178951,0,,,,,,,Y,Y,3,2,,Apts,Southview Place Towers
AR-CO,D6016057,2/16/2016,Robert A. Koontz & Gregory L. Armstrong,7801 E Arapahoe Rd,Englewood,Kevan D. Baltzer & Lisa M. Baltzer,5330000,Bnk,1980,0.99,11097,0,43222,480.3099937,#DIV/0!,123.3168294,0,,,,,,Y,Y,Y,3,,,Bank,U.S. Bank
AR-CO,D6020388,2/26/2016,Denver Promenade LLC,7935-7995 E Prentice Ave,Greenwood Village,Melcor Promenade LLC,16850000,Off,1974,8.76,128303,0,381586,131.3297429,#DIV/0!,44.15785082,0,,,,,,N?,Y,Y,3,,,Off,
AR-CO,D6021370,3/1/2016,Broadway Square Realty LLC,5501-5549 S Broadway,Englewood,Broadway Square LLC,7200000,Ret,1984,5.91,72373,0,257440,99.48461443,#DIV/0!,27.96772525,0,,,,,,,Y,Y,,,,Ret,"Nails Image, Littleton Car Rentals, etc."
AR-CO,D6020026,2/25/2016,Mississippi and Galena LLC,SEC S Dayton Street & E Mississippi Ave,Aurora,Meritage Homes of Colorado Inc.,4000000,Lnd,0,15.33,0,0,667775,#DIV/0!,#DIV/0!,5.990041556,0,,,,,,,,,,,,Lnd,Residential Units planned
AR-CO,D6018611,2/23/2016,D.D. Writer & Sons,8115 S Chester St,Centennial,Greenbox VI LLC,2300000,Lnd,0,3.27,0,0,142441,#DIV/0!,#DIV/0!,16.14703632,0,,,,,,Y,Y,Y,,,,Lnd,Proposed self-storage
AR-CO,D6018620,2/18/2016,Madgavash LLC,3690 S Fox St,Englewood,Kimberly Apartments LLC,1430000,Apt,1971,1.52,8061,14,66211,177.3973452,102142.8571,21.59761973,0,,69523,,,,Y,Y,Y,,,,Apts,
DE-CO,2016021508,2/4/2016,Summit Hospitality ILLC,6851 Tower Road,Denver,ARC Hospitality SMT FIS DENCO owner LLC,19120000,Hot,1995,3.22,85310,0,140263,224.1237838,#DIV/0!,136.3151561,0,,,,,,,Y,Y,3,,,Hotel,Fairfield Inn & Suites Denver Airport
DE-CO,2016021471,2/4/2016,Summit Hospitality ILLC,18350 E 68th Ave,Denver,ARC Hospitality SMT FIS DENCO owner LLC,12970000,Hot,2007,2.46,71300,0,107158,181.9074334,#DIV/0!,121.0366787,0,,,,,,Y,Y,Y,3,3,3,Hotel,SpringHill Suites Marriott
DE-CO,2016014959,2/2/2016,Wazee St LLC,1444 Wazee St,Denver,Unico BOB Elephant Corral LLC,22550000,Off,1880-1931,1.00,66116,0,43606,341.0672152,#DIV/0!,517.1306701,0,,,,,,N,Y,Y,,,,Multi Condo/Off,Elephant Corral
DE-CO,2016026168,2/29/2016,Denver Tower Equities LLC,1720 S Bellaire St,Denver,1720 Tower Colorado LLC,15850000,Off,1974,0.97,127715,0,42262,124.1044513,#DIV/0!,375.0414084,0,,,,,,,Y,Y,,,,Off,Tower Colorado
DE-CO,2016024787,2/25/2016,William J. Spicer,1660-1702-1710 Platte St,Denver,1710 Platte Associates LLC,12000000,Ind,1972-73,1.36,29834,0,59242,402.2256486,#DIV/0!,202.560363,0,,,,,,,Y,Y,,,,Ind,Empire Staple Co
DE-CO,2016015013,2/3/2016,11411 Limited LLLP,11411 E 51st Ave,Denver,SI Partners investments LLC,4300000,Ind,1987,3.19,56900,0,138956,75.5711775,#DIV/0!,30.94495827,0,,,,,,N,Y,Y,2,3,3,,
DE-CO,2016021444,2/18/2016,Mark Joe Paulson,3600-3610-3636 Brighton Blvd,Denver,3600 Brighton Blvd LLC,3750000,Ind,1954,0.86,7331,0,37500,511.5263948,#DIV/0!,100,0,,,,,,Y,Y,Y,,,,Ind,
DE-CO,2016026032,2/29/2016,Roger D. Witulski,4375 Brighton Blvd,Denver,HOP One Brighton LLC,3500000,Ind,1971,1.20,27549,0,52450,127.0463538,#DIV/0!,66.73021926,0,,,,,,Y,Y,Y,,2,2,Ind,
DE-CO,2016023103,2/25/2016,Cosimi Farms LP,1181-1185 Bellaire St & 1194-95 Ash St,Denver,Ash and Bellaire LLC,3000000,Apt,1948-49,0.55,20428,16,24031,146.8572547,187500,124.8387499,4,,,,,,,Y,Y,,,,Apts,
DE-CO,2016022100,2/18/2016,Lima Street Holdings LLC,4995 Lima St,Denver,Bean Holdings of Colorado LLC,2620000,Ind,1973,1.28,25152,0,55757,104.1666667,#DIV/0!,46.98978421,0,,,,,,N,Y,Y,2,3,3,Ind,
DE-CO,2016023210,2/25/2016,2329 Developers LLC,2323-2333-2345 Eliot St,Denver,Eliot Hill LLC,2250000,Ret,0,0.43,0,0,18798,#DIV/0!,#DIV/0!,119.6935844,0,,,,,,N,Y,Y,,,,,
DE-CO,2016026084,2/29/2016,Ruben & Gloria Huizar,1727 W Mississippi Ave,Denver,Lam & Ho investments,1900000,Ret,1956,1.93,22701,0,84071,83.69675345,#DIV/0!,22.59999905,0,,,,,,N,Y,Y,,2,2,Multi Ret,"Salon Ocampo, Masion night club"
DE-CO,2016023103,2/22/2016,South York Apartments LLC,2412 York St,Denver,Carol E. Quinn,1780000,Apt,1962,0.14,6908,11,6250,257.672264,161818.1818,284.8,0,0.0410,,3296,109339,,N,Y,Y,3,3,3,Apts,
DE-CO,2016023210,2/16/2016,Audrey C. Medina & Carol M. Murray,"SEC W Alameda Ave & S Decatur, 2790 W Alameda Ave",Denver,CPD-Alameda and Decatur,503000,Ret,2001,0.57,1479,0,25000,340.0946586,#DIV/0!,20.12,0,,,,,,Y,Y,Y,2,2,2,Ret,Closed Sonic Restaurant
DO-CO,2016011219,2/25/2016,"Venaxis Inc, fka Aspenbio Pharma Inc",1585 S Perry St,Castle Rock,Antler Investments LLC & Orchid Investments,4050000,Ind,2003,3.01,40060,0,131116,101.0983525,#DIV/0!,30.88877296,0,,,,,,N,Y,Y,3,3,3,Lab,
DO-CO,2016009422,2/18/2016,Jesus Aguirre,215 N Wilcox St,Castle Rock,Bates Leasing Company Ltd,2200000,Ret,1972,0.48,5100,0,20996,431.372549,#DIV/0!,104.7818632,0,,,,,,N,Y,Y,3,,,Ret,Blue Nectar Mexican Restaurant
DO-CO,2016011854,2/16/2016,Liberty Capital Inc,SEC Centerpark Loop & Colony Loop,Parker,Cardel Homes U.S. LP,1910000,Lnd,0,8.84,0,0,385070,#DIV/0!,#DIV/0!,4.960131965,0,,,,,,Y,,,3,,,Lnd,Zoned for family homes
DO-CO,2016009092,2/16/2016,CGD Mortgage Investors LLC,NWC Woodlands Blvd & Fifth St,Castle Rock,Calvary Chapel Castle Rock LLC,675000,Lnd,0,5.45,0,0,237402,#DIV/0!,#DIV/0!,2.84327849,0,,,,,,Y,Y,Y,,,,Lnd,
DO-CO,2016008551,2/16/2016,Burn Family Trust,10251 Progress Way,Parker,P&D Holdings LLC,500000,Lnd,0,1.02,0,0,44431,#DIV/0!,#DIV/0!,11.2533535,0,,,,,,N,,,,,,Lnd,
JF-CO,2016016484,2/19/2016,1225 Prospect LLC,SEC W 97th Ave & Chase St,Westminster,Hyland Project LLC,4800000,Lnd,0,5.58,0,0,243065,#DIV/0!,#DIV/0!,19.74782033,0,,,,,,Y,Y,Y,,,,Lnd,Hyland Village Apts to be built
JF-CO,2016016392,2/19/2016,BJ&G Associates LLC,SWC W Colfax Ave & Fenton St,Lakewood,Rodajo Inc,750000,Lnd,0,0.93,0,0,40600,#DIV/0!,#DIV/0!,18.4729064,0,,,,,,Y,Y,Y,3,,,Lnd,
AD-CO,2016000015442,2/29/2016,Advanced Self Storage Thornton LLC,9000 Gale Blvd,Thornton,Sovran Acquisition LP,9430000,Mstg,2011,3.02,80010,521,131551,117.8602675,18099.80806,71.68311654,0,,,,,,,,,,,,Storage,Uncle Bobs mini storage
AD-CO,2016000014740,2/26/2016,TC Crossroads No. 4 LLC,200 E 55th Ave,Denver,William J. Spicer,7910000,Ind,2016,4.65,61870,0,202554,127.848715,#DIV/0!,39.05131471,0,,,,,,,,,,,,St Ind,"Empire Staple Co, NNN lse build to suit"
AD-CO,2016000014543,2/25/2016,GGC Real Estate Investments I LP,1350 W 104th Ave,Northglenn,Broadridge Apartments LLC,6610000,Ret,1981,1.64,8041,0,71438,822.0370601,#DIV/0!,92.52726825,0,0.0580,,,,,,,,,,,ST Rest,"Red Lobster, 23 yr NNN lse"
AD-CO,2016000008436,2/2/2016,"165 Howe LP, by Centamtar Terras LLC",Vicinity of NEC Ehler Pkwy &Quebec St,Thornton,Lennar Colorado,6270000,Res,,,,142,,,44154.92958,,,,,,,,,,,,,,land,SFR finished lots
AD-CO,2016000020501,3/17/2016,Indus Hospitality Investments LLC,12080 Melody Dr,Westminster,Westminster FIS LLC,5890000,Hot,2000,2.09,41600,,91040,141.5865385,#DIV/0!,64.6965523,0,,,,,,,,,,,,Hot,Sold 11/12 for $4.23 mil
AD-CO,2016000014543,2/25/2016,Richard M. Allen & Joel R. Allen,5190 W 120th Ave,Northglenn,Richard Matthew Terzian Living Trust,4010000,Ret,1997,2.16,13905,0,94090,288.3854729,#DIV/0!,42.61895045,0,0.0670,,,,,,,,,,,ST Ret,"Walgreens, 6 yrs left"
AD-CO,2016000020650,3/18/2016,Rentech Energy Technology Center LLC,4150 E 60th Ave,Commerce City,Hampton Yard LLC,3000000,Ind,1978-92,16.92,31336,0,737035,95.73653306,#DIV/0!,4.070361904,0,,,,,,,,,,,,Ind/Off,
AD-CO,2016000019020,3/11/2016,G&H Ptnrshp LLP,"W/S York St, 300' S of E 152nd Ave",Thornton,York35 LLC,2920000,Lnd,,35.00,0,107,1524600,#DIV/0!,27289.71963,1.915256461,0,,,,,,,,,,,,Lnd,Platted SF lots
AD-CO,2016000009425,2/4/2016,104th and Chambers Dev. LLC,15200 E 104th Ave,Commerce City,Garvin Partners Ltd.,865000,Med,2015,0.61,3285,0,26402,263.3181126,#DIV/0!,32.76266949,0,,,,,,,,,,,,ST Dent,Perfect Teeth NNN build to suit
AD-CO,2016000009425,2/4/2016,SW 104th,"S/S East 104th Ave, appx 600' W of Chambers Rd",Commerce City,Mega Pie LLC,775000,Lnd,,1.35,0,0,58806,#DIV/0!,#DIV/0!,13.17892732,0,,,,,,,,,,,,Lnd,Plan to build Dion's Pizza
AR-CO,D6023775,3/8/2016,Arterra Apartments LLC,17036 E Ohio Dr,Aurora,Santa Ana Court Partners LLC,46100000,Apt,2014,9.75,185832,200,424623,248.0735288,230500,108.5669241,134,,,,,,,,,,,,Apts,Arterra Place Apts
AR-CO,D6021816,3/17/2016,SVN Arapahoe SC LLC,6675 S Kenton St,Englewood,Arapahoe Service Center LLC,15600000,Ind,1985,11.11,145186,0,483952,107.4483766,#DIV/0!,32.23462842,0,,,,,,,,,,,,MT Ind,Arapahoe Service Center
AR-CO,D6026782,3/16/2016,FDIC,SEC East Berry Ave & South Greenwood Plaza Blvd,Greenwood Village,Century Land Holdings LLC,11000000,Lnd,,11.40,0,0,496584,#DIV/0!,#DIV/0!,22.15133794,0,,,,,,,,,,,,Lnd,
AR-CO,D6022766,3/3/2016,Brea Lambert Sullivan LLC,"6 Inverness Ct East, 8-10 Inverness Dr East",Englewood,Melcor Inverness LLC,9600000,Off,1979-80,6.86,93314,0,298822,102.8784534,#DIV/0!,32.12619168,0,0.0810,777600,,,0.9200,N,Y,Y,3,2,2,Off,"2 Sty Class B, golf course views."
AR-CO,D6027705,3/17/2016,Khyber Hospitality LLC,13851 E Harvard Ave,Aurora,Aurora FIS LLC,6900000,Hot,1999,2.00,41862,0,87120,164.8272897,#DIV/0!,79.20110193,0,,,,,,,,,,,,Hot,"3 sty, 82 units"
AR-CO,D6027820,3/18/2016,Fashion Bar Associates LLC,NWC East Yale & S Blackhawk St,Aurora,Iliff Station Fee LLC,6750000,Lnd,,15.16,0,424,660370,#DIV/0!,15919.81132,10.22154866,0,,,,,,,,,,,,Lnd,3-4 Sty 18 bldg 424 unit apts to be built
AR-CO,D6022391,2/29/2016,Cornerstone BBQ LLC,15725 E Briarwood Cir,Aurora,Divestments Inc,3580000,Ret,2010,1.55,6772,0,67518,528.6473715,#DIV/0!,53.0228976,0,0.0740,264920,0,264920,1.0000,,,,,,,Ret,"Was Famous Daves BBQ, new 15 yr lse 8.5% bump 5 yrs."
AR-CO,D6028707,3/22/2016,Profile Acquisitions LLC,16900 E Iliff Ave,Aurora,AQG Management LLC,1730000,Ret,1980,0.13,4630,0,5475,373.650108,#DIV/0!,315.9817352,0,0.0650,,,,,,,,,,,Ret,"T Mobile & Sprint, recent 5 yr renewals"
AR-CO,D6025575,3/11/2016,Eagle Street Partners LLC,7436 S Eagle St,Centennial,528 N. Washington St LLC,1470000,Aut,1984,0.95,10828,0,41382,135.759143,#DIV/0!,35.52269103,0,,,,,,,,,,,,Aut,Caliber Collision Auto Body
AR-CO,D6021841,3/1/2016,JRD & E LLC,7079 S Jordan Rd,Centennial,SJR I LLC,1330000,Ind,2001,1.00,11784,0,43479,112.8649016,#DIV/0!,30.58947998,0,0.0725,,,,1.0000,,,,,,,Ind,Multi tenant
AR-CO,D6022380,3/2/2016,R&D Weeter Enterprises LLC,2700 S Shosone St,Englewood,Wild Diversified LLC,812000,Ind,1967,0.41,8300,0,17908,97.8313253,#DIV/0!,45.34286352,0,,,,,,,,,,,,Ind,Warehouse
AR-CO,D60227780,3/18/2016,David L. Cook,15501 E Alameda Ave,Aurora,Gardner Capital Dev. Colorado LLC,675000,Lnd,,3.71,0,120,161608,#DIV/0!,5625,4.176783765,0,,,,,,,N,,,,,Lnd,120 units affordable housing planned
AR-CO,D60227780,3/18/2016,Caulfield Investments LLC,8029 Southpark Cir,Littleton,HCI Investments LLC,575000,Lnd,,1.26,0,0,55016,#DIV/0!,#DIV/0!,10.45150502,0,,,,,,,,,,,,Lnd,2 parcels
AR-CO,D6025067,3/9/2016,Roman Gish,4236 S Broadway,Englewood,Warner and Dad LLC,513000,Aut,1992,0.14,2400,0,6250,213.75,#DIV/0!,82.08,0,,,,,,,,,,,,Aut,Action Auto Glass Inc
BO-CO,3505272,3/8/2016,Boulder View Apartments Ltd,6655 Lookout Rd,Boulder,Santa Ana Court Partners LLC,22080000,Apt,2015,2.52,54032,68,109771,408.6467279,324705.8824,201.1456557,0,,,,,,,,,,,,Apts,"Boulder View Apts, caters to college students"
DE-CO,2016032707,3/14/2016,HR LLC,3481 S Fenton St,Denver,FPA5 Hunters Ridge LLC,33950000,Apt,1984,6.05,201960,240,263538,168.1025946,141458.3333,128.8239267,0,,,,,,,,,,,,Apts,Velo Apts
DE-CO,2016032683,3/10/2016,Waterland LLC,6301 W Hampden Ave,Denver,FPA5 Waters Edge LLC,30000000,Apt,1984,8.27,191920,230,360241,156.3151313,130434.7826,83.27753738,0,,,,,,,,,,,,Apts,Modera Apts
DE-CO,2016032964,3/14/2016,Tower Commons LLC,18550 Green Valley Ranch Blvd,Denver,Lincolnland Properties Inc,6700000,Ret,2006,1.79,13650,0,78036,490.8424908,#DIV/0!,85.85780922,0,0.0530,,,,1.0000,,,,,,,Ret,"Walgreens, 16 yrs left"
DE-CO,2016035049,3/17/2016,Pearl Investment Group LLC,1530 Pearl St,Denver,1530 Pearl ST LLC,1680000,Apt,1906,0.10,5937,14,4381,282.9711976,120000,383.4740927,0,0.0440,,,,,,,,,,,Apts,"12 units above grade, 2 basement"
DE-CO,2016031200,3/9/2016,Public Service Employees Credit Union,2015 S Pontiac Wy & 2040 S Oneida St,Denver,2570 Associates,1400000,Off,1982&1972,1.39,17823,0,60548,78.55018796,#DIV/0!,23.12199827,0,,,,,,,,,,,,Off,
DE-CO,2016031403,3/2/2016,Levert Whittaker,2748 Welton St,Denver,Welton 2748 LLC,766500,Ret,1914,0.14,2750,0,6237,278.7272727,#DIV/0!,122.8956229,0,,,,,,,,,,,,Ret,Renovation plans
DE-CO,2016032830,3/11/2016,Nomars Inc,1500 W 38th Ave,Denver,38th and Navajo LLC,521000,Ret,1971,0.14,1950,0,6237,267.1794872,#DIV/0!,83.5337502,0,,,,,0.0000,,,,,,,Ret,"Vacant Build, ask $30 SF NNN"
DE-CO,2016033282,3/15/2016,2701-2727 W Alameda LLC,2727 W Alameda Ave,Denver,NewCorp Group LLC,485000,Ret,1981,0.42,1783,0,18125,272.0134605,#DIV/0!,26.75862069,0,,,,,,,,,,,,Ret,Subway
DO-CO,2016015935,3/15/2016,Virtu Rolling Hills Owner LLC,1109 Easton Cir,Castle Rock,Rolling Hills Apartment Homes LLC,23850000,Apt,1987,18.09,145818,186,788000,163.5600543,128225.8065,30.2664821,0,,,,,,,,,,,,Apts,Rolling Hills Apts
AD-CO,2016000025604,4/4/2016,Hasta La Vista LLC,12899 Grant St,Thornton,Roots to Wings Thornton Development LLC,2900000,Sch,2005,1.37,9811,0,59677,295.5865865,#DIV/0!,48.59477321,0,,,,,,Y,Y,Y,,,,Sch,Primrose School
